CustomerName                                                                                         Sales_2013                              Sales_2014                              Sales_2015                              Sales_2016
---------------------------------------------------------------------------------------------------- --------------------------------------- --------------------------------------- --------------------------------------- ---------------------------------------
Aakriti Byrraju                                                                                      62967.55                                105429.85                               101844.25                               25103.75
Abel Spirlea                                                                                         79523.70                                52107.15                                86927.85                                35713.50
Abel Tatarescu                                                                                       37909.35                                35327.65                                55003.35                                25423.70
Abhra Ganguly                                                                                        0.00                                    0.00                                    2020.00                                 56223.35
Adrian Andreasson                                                                                    61714.90                                85022.15                                81001.40                                40275.00
Adriana Pena                                                                                         0.00                                    0.00                                    6148.25                                 49480.80
Agrita Abele                                                                                         0.00                                    0.00                                    0.00                                    22829.65
Agrita Kanepa                                                                                        69999.20                                75482.00                                92075.55                                28822.40
Aishwarya Dantuluri                                                                                  0.00                                    45055.10                                74712.55                                46141.45
Aive Petrov                                                                                          42207.80                                81113.10                                84898.90                                46006.00
Ajitaab Pakalapati                                                                                   74301.25                                85940.35                                122442.05                               30199.00
Akhil Nadar                                                                                          67893.10                                67122.00                                65224.95                                36686.35
Aleksandrs Riekstins                                                                                 99940.35                                118308.15                               67693.95                                42389.70
Alena Kellnerova                                                                                     70677.60                                106851.40                               78777.35                                28099.10
Alinne Matos                                                                                         78247.25                                79955.20                                87974.00                                40119.60
Allan Mannik                                                                                         69682.45                                69038.40                                101877.50                               17614.20
Alvin Bollinger                                                                                      83405.40                                117589.75                               85238.10                                15198.10
Amarakumaar Gadiyaram                                                                                84702.80                                46920.95                                101292.55                               35411.70
Amarasimha Vinjamuri                                                                                 61158.00                                119800.80                               108447.85                               54802.00
Amet Shergill                                                                                        0.00                                    0.00                                    26593.25                                22092.55
Amrita Ganguly                                                                                       0.00                                    0.00                                    10535.40                                31602.75
Ana Florea                                                                                           99592.20                                96150.75                                67225.85                                25747.55
Anand Mudaliyar                                                                                      0.00                                    0.00                                    0.00                                    7280.20
Anca Gogean                                                                                          93370.75                                72943.35                                93194.20                                16876.40
Andris Saulitis                                                                                      56035.70                                55271.20                                67313.05                                23362.90
Anil Sarkar                                                                                          58783.60                                97579.90                                52941.80                                18439.10
Anindya Ghatak                                                                                       59128.50                                101135.90                               103391.55                               49487.65
Anna Gyarmathi                                                                                       87477.20                                67622.00                                71581.25                                30613.00
Anna Mazzanti                                                                                        92353.15                                84180.20                                78429.85                                26778.60
Annette  Hetu                                                                                        29724.30                                58401.90                                54627.50                                32467.70
Arijit Bhuiyan                                                                                       82333.80                                87555.60                                94933.55                                59031.30
Arka Chatterjee                                                                                      0.00                                    89960.05                                107519.50                               35340.85
Baalaamjali Devulapalli                                                                              57397.80                                103400.00                               78065.35                                41789.20
Bahaar Asef zade                                                                                     92104.20                                112587.75                               89737.40                                23617.70
Bala Dixit                                                                                           83332.00                                60450.20                                89087.70                                35695.35
Baran Jonsson                                                                                        90012.55                                60271.35                                69897.20                                47209.55
Be Trang                                                                                             78469.70                                90039.70                                71057.55                                20833.70
Bhaamini Palagummi                                                                                   0.00                                    0.00                                    52797.50                                40667.90
Bhaavan Rai                                                                                          96819.65                                96331.45                                96507.30                                31504.60
Bhadram Kamasamudram                                                                                 29387.90                                124165.80                               44564.60                                21915.40
Bhagavaan Atluri                                                                                     52991.65                                74703.65                                87656.45                                20636.05
Bhagavateeprasaad Malladi                                                                            33495.75                                71326.40                                113356.75                               58851.25
Bhagavati Vinjamuri                                                                                  58587.60                                78461.55                                90530.65                                38097.60
Bijoya Thakur                                                                                        60808.95                                56266.40                                70033.70                                7935.60
Biju Deb                                                                                             69081.30                                61673.50                                113359.00                               28105.90
Bimla PrabhupÄda                                                                                    83499.55                                92999.50                                49635.80                                38634.10
Bing Han                                                                                             41189.30                                68303.10                                88428.10                                40056.00
Bishwa Chatterjee                                                                                    132520.15                               65843.10                                79132.50                                47984.80
Camille Authier                                                                                      99152.05                                79388.40                                129505.45                               45453.25
