CustomerName                                                                                         Sales_2014M1                            Sales_2014M2                            Sales_2014M3                            Sales_2014M4                            Sales_2014M5                            Sales_2014M6                            Sales_2014M7                            Sales_2014M8                            Sales_2014M9                            Sales_2014M10                           Sales_2014M11                           Sales_2014M12
---------------------------------------------------------------------------------------------------- --------------------------------------- --------------------------------------- --------------------------------------- --------------------------------------- --------------------------------------- --------------------------------------- --------------------------------------- --------------------------------------- --------------------------------------- --------------------------------------- --------------------------------------- ---------------------------------------
Aakriti Byrraju                                                                                      2328.00                                 22301.20                                13626.70                                1053.00                                 3469.60                                 804.00                                  1670.00                                 15396.80                                12131.75                                16264.00                                7238.80                                 9146.00
Abel Spirlea                                                                                         7501.40                                 3058.50                                 10188.00                                271.00                                  6934.25                                 405.00                                  11605.00                                6878.00                                 3078.00                                 931.00                                  588.00                                  669.00
Abel Tatarescu                                                                                       0.00                                    721.00                                  2174.00                                 0.00                                    2144.30                                 11520.20                                6079.00                                 638.00                                  4918.00                                 4837.40                                 0.00                                    2295.75
Abhra Ganguly                                                                                        0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00
Adrian Andreasson                                                                                    2435.00                                 13728.20                                13217.25                                3502.40                                 4164.40                                 7695.40                                 16164.50                                6431.00                                 6524.00                                 4740.50                                 2008.00                                 4411.50
Adriana Pena                                                                                         0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00
Agrita Abele                                                                                         0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00
Agrita Kanepa                                                                                        9925.40                                 3694.80                                 11000.00                                5817.00                                 2850.00                                 4681.20                                 8072.00                                 4264.80                                 7017.00                                 9749.90                                 369.40                                  8040.50
Aishwarya Dantuluri                                                                                  0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    6578.75                                 19383.80                                4896.75                                 14195.80
Aive Petrov                                                                                          5326.00                                 0.00                                    6514.25                                 5720.50                                 0.00                                    6787.60                                 262.50                                  8875.00                                 24797.00                                4850.25                                 14523.50                                3456.50
Ajitaab Pakalapati                                                                                   5229.00                                 11177.75                                12529.20                                9929.10                                 15544.50                                3440.00                                 2475.00                                 3541.00                                 2275.00                                 6650.40                                 6772.00                                 6377.40
Akhil Nadar                                                                                          12148.00                                399.00                                  1852.35                                 427.00                                  6359.55                                 90.25                                   11414.00                                12180.00                                3337.25                                 7468.45                                 8985.65                                 2460.50
Aleksandrs Riekstins                                                                                 7143.60                                 5679.60                                 7329.35                                 7816.20                                 12094.00                                13098.00                                5774.00                                 15430.20                                864.00                                  18740.20                                20893.00                                3446.00
Alena Kellnerova                                                                                     8289.30                                 2533.00                                 1114.00                                 9774.00                                 3933.25                                 8423.60                                 8375.00                                 27488.85                                17584.80                                14843.85                                1431.75                                 3060.00
Alinne Matos                                                                                         10545.00                                1058.00                                 264.00                                  10888.40                                9668.00                                 418.00                                  12572.80                                11307.00                                3813.20                                 7410.10                                 1948.70                                 10062.00
Allan Mannik                                                                                         8574.00                                 11931.75                                1464.00                                 3355.00                                 8419.00                                 2039.00                                 4551.80                                 7849.50                                 10996.10                                2511.00                                 6366.00                                 981.25
Alvin Bollinger                                                                                      10648.00                                4057.20                                 13510.00                                13927.10                                1182.95                                 14825.00                                6079.00                                 7097.00                                 5400.00                                 19782.80                                15745.90                                5334.80
Amarakumaar Gadiyaram                                                                                2209.00                                 7316.85                                 10056.00                                1029.00                                 5937.40                                 4050.00                                 4094.50                                 3206.45                                 2222.40                                 3023.35                                 3776.00                                 0.00
