CustomerName                                                                                         Sales_2015Q1                            Sales_2015Q2                            Sales_2015Q3                            Sales_2015Q4
---------------------------------------------------------------------------------------------------- --------------------------------------- --------------------------------------- --------------------------------------- ---------------------------------------
Aakriti Byrraju                                                                                      17424.40                                33671.60                                37381.40                                13366.85
Abel Spirlea                                                                                         26633.00                                15662.60                                24050.60                                20581.65
Abel Tatarescu                                                                                       11387.40                                26317.95                                9468.00                                 7830.00
Abhra Ganguly                                                                                        0.00                                    0.00                                    0.00                                    2020.00
Adrian Andreasson                                                                                    6302.50                                 35014.80                                11531.10                                28153.00
Adriana Pena                                                                                         0.00                                    0.00                                    0.00                                    6148.25
Agrita Abele                                                                                         0.00                                    0.00                                    0.00                                    0.00
Agrita Kanepa                                                                                        31798.20                                7895.60                                 31740.10                                20641.65
Aishwarya Dantuluri                                                                                  12919.65                                15642.20                                27273.60                                18877.10
Aive Petrov                                                                                          39392.40                                13212.05                                21934.60                                10359.85
Ajitaab Pakalapati                                                                                   19296.15                                36266.10                                40280.15                                26599.65
Akhil Nadar                                                                                          15463.70                                23654.00                                11457.75                                14649.50
Aleksandrs Riekstins                                                                                 7509.60                                 11642.30                                39136.90                                9405.15
Alena Kellnerova                                                                                     17979.15                                10743.40                                33265.00                                16789.80
Alinne Matos                                                                                         27038.60                                24104.80                                9259.50                                 27571.10
Allan Mannik                                                                                         18103.20                                39827.50                                28278.80                                15668.00
Alvin Bollinger                                                                                      17922.80                                9755.00                                 23442.40                                34117.90
Amarakumaar Gadiyaram                                                                                35395.80                                39842.15                                5345.00                                 20709.60
Amarasimha Vinjamuri                                                                                 22252.00                                7704.60                                 46602.60                                31888.65
Amet Shergill                                                                                        0.00                                    0.00                                    5243.50                                 21349.75
Amrita Ganguly                                                                                       0.00                                    0.00                                    5081.00                                 5454.40
Ana Florea                                                                                           6545.50                                 42587.40                                8672.70                                 9420.25
Anand Mudaliyar                                                                                      0.00                                    0.00                                    0.00                                    0.00
Anca Gogean                                                                                          40841.15                                15873.60                                22006.30                                14473.15
Andris Saulitis                                                                                      15780.55                                19455.40                                17121.60                                14955.50
Anil Sarkar                                                                                          6047.80                                 22731.20                                6957.80                                 17205.00
Anindya Ghatak                                                                                       17723.60                                35438.15                                34305.00                                15924.80
Anna Gyarmathi                                                                                       13670.15                                14285.50                                19169.00                                24456.60
Anna Mazzanti                                                                                        8357.50                                 19464.40                                32314.60                                18293.35
Annette  Hetu                                                                                        20745.00                                12601.20                                8039.80                                 13241.50
Arijit Bhuiyan                                                                                       22626.10                                25581.05                                26917.20                                19809.20
Arka Chatterjee                                                                                      33594.25                                31221.40                                25417.00                                17286.85
Baalaamjali Devulapalli                                                                              24988.70                                20822.50                                15141.85                                17112.30
Bahaar Asef zade                                                                                     17189.00                                29929.40                                12849.80                                29769.20
Bala Dixit                                                                                           31701.90                                32869.50                                4937.00                                 19579.30
Baran Jonsson                                                                                        16316.70                                23964.90                                22496.60                                7119.00
Be Trang                                                                                             10342.25                                34793.90                                16046.00                                9875.40
Bhaamini Palagummi                                                                                   15220.80                                18533.40                                13171.15                                5872.15
Bhaavan Rai                                                                                          15165.80                                11030.00                                49469.30                                20842.20
Bhadram Kamasamudram                                                                                 10488.40                                9338.00                                 19023.00                                5715.20
Bhagavaan Atluri                                                                                     32541.00                                14011.70                                17318.35                                23785.40
Bhagavateeprasaad Malladi                                                                            27978.50                                27906.70                                13101.85                                44369.70
Bhagavati Vinjamuri                                                                                  24218.40                                31103.05                                19939.30                                15269.90
Bijoya Thakur                                                                                        8591.50                                 18478.50                                18099.70                                24864.00
Biju Deb                                                                                             20001.70                                54467.15                                20783.75                                18106.40
Bimla PrabhupÄda                                                                                    6885.40                                 14236.90                                6761.50                                 21752.00
Bing Han                                                                                             17060.50                                22614.80                                35683.10                                13069.70
Bishwa Chatterjee                                                                                    26089.75                                26712.50                                12161.50                                14168.75
Camille Authier                                                                                      45194.45                                32067.00                                18370.60                                33873.40
Can ozcan                                                                                            16419.90                                5369.50                                 21591.30                                3630.35
Caterina Pinto                                                                                       9901.00                                 19574.60                                24007.00                                38785.75
Celica Barajas                                                                                       33478.80                                10957.60                                23331.00                                8118.15
Chaayaadaevi Sonti                                                                                   4256.20                                 34741.80                                10541.80                                31630.80
Chandana Shasthri                                                                                    34421.00                                12595.05                                7247.70                                 17847.00
Chandrashekhar Dasgupta                                                                              23962.30                                12760.80                                33749.00                                39343.40
Chin-Sun Chang                                                                                       30782.00                                18585.70                                30145.25                                13636.00
Chompoo Atitarn                                                                                      9784.25                                 31883.20                                5440.00                                 13356.40
Christian Couet                                                                                      0.00                                    5101.50                                 31879.60                                19648.00
Chuan Wattanasin                                                                                     5239.30                                 20932.70                                14890.20                                14124.15
Clarissa Manfrin                                                                                     41308.50                                23415.95                                33931.75                                11965.00
Cong Hoa                                                                                             12106.40                                61494.70                                2041.75                                 17459.40
Cosmina Vlad                                                                                         14000.00                                24319.70                                22944.75                                22217.50
Crina Grasu                                                                                          4969.60                                 18012.70                                30611.90                                13131.00
Cuneyt Arslan                                                                                        9413.80                                 33632.90                                9519.50                                 42853.00
Daakshaayaani Kommineni                                                                              10984.80                                18864.80                                23517.70                                4301.80
Daakshaayaani Sankaramanchi                                                                          11349.20                                15820.25                                6436.00                                 29884.90
Daevasree Samavedam                                                                                  29338.30                                11005.50                                20637.60                                13991.70
Damodar Shenoy                                                                                       10801.65                                17621.45                                29038.45                                10048.00
Damodara Trivedi                                                                                     19725.10                                19498.20                                20226.15                                11707.40
Daniel Martensson                                                                                    27538.80                                37047.55                                24589.10                                39984.90
Daniella Cavalcante                                                                                  13249.55                                19654.25                                17897.40                                25092.40
Darshana Madhunapantula                                                                              12269.00                                32263.10                                23619.95                                39898.75
David Jaramillo                                                                                      20195.75                                18004.60                                20879.00                                55740.05
David Novacek                                                                                        35161.70                                19315.70                                32688.80                                17141.55
David safranek                                                                                       33700.20                                28234.80                                16478.00                                13866.20
Debbie Molina                                                                                        41437.45                                24397.80                                22660.35                                3360.00
Dena Glissen                                                                                         18612.30                                45253.50                                38661.95                                15032.65
Devraj Rao                                                                                           7385.20                                 12664.40                                4584.00                                 16276.00
Dhaatri Chavva                                                                                       14336.55                                20913.70                                5675.35                                 41188.45
Dhanishta Mokkapati                                                                                  29404.00                                10913.20                                21630.70                                38545.85
Dhanishta Pullela                                                                                    9385.00                                 34320.10                                5626.00                                 18029.30
Dinh Mai                                                                                             31129.55                                33011.80                                21266.00                                22090.30
Dipti Shah                                                                                           20662.30                                21271.25                                21626.65                                23544.25
Dominic Davignon                                                                                     21197.00                                17102.40                                10352.40                                19343.80
Drazenka Jelic                                                                                       23213.05                                31995.50                                18860.10                                8579.40
Drishti Bose                                                                                         16330.00                                34788.80                                25211.65                                12458.75
Durdanah Abbasi                                                                                      9094.20                                 5763.00                                 28021.40                                33236.60
Ebru Erdogan                                                                                         18186.60                                22119.80                                23119.80                                19701.00
Edgar Jogi                                                                                           18447.00                                14587.40                                30544.80                                8164.80
Edmee Glissen                                                                                        15330.00                                25265.85                                23877.00                                31312.50
Elina Kaleja                                                                                         19757.50                                14545.15                                31312.30                                19686.90
Eliza Persson                                                                                        8242.20                                 25530.60                                32777.45                                27598.70
Emil Roman                                                                                           11179.00                                31539.00                                18857.50                                15710.00
Emilie Hrdlickova                                                                                    23204.95                                23087.30                                35321.70                                15169.10
Emily Whittle                                                                                        30382.60                                9031.30                                 13978.90                                8038.40
Emma Salpa                                                                                           0.00                                    0.00                                    0.00                                    17918.35
Emma Van Zant                                                                                        12236.00                                33839.80                                12303.50                                29232.60
Eric Torres                                                                                          21669.65                                24640.75                                28918.00                                30024.35
Erik Malk                                                                                            38614.85                                11500.40                                30509.00                                14718.15
Eugen Agafitei                                                                                       7547.15                                 22262.10                                18170.20                                10965.75
Eva Schulteisz                                                                                       8984.20                                 44701.80                                22822.40                                25306.80
Fabrice Cloutier                                                                                     10841.85                                21364.40                                5251.40                                 24176.20
Farzana Habibi                                                                                       18852.75                                5638.40                                 19203.30                                7152.15
Francisca Laureano                                                                                   7174.20                                 6761.70                                 7040.80                                 13768.00
Gabriela Hernandes                                                                                   57949.40                                27559.00                                11226.40                                15173.85
Ganesh Majumdar                                                                                      0.00                                    0.00                                    0.00                                    0.00
Gasper Havzija                                                                                       19696.05                                12224.60                                28488.05                                3605.50
Gayatri Gajula                                                                                       25539.00                                13811.20                                18558.15                                22067.50
Geza Roman                                                                                           24404.10                                37408.30                                19287.00                                21180.70
Gopalgobinda Sikdar                                                                                  26735.00                                24370.20                                10182.40                                1061.20
Gunnar Lohmus                                                                                        16985.40                                11268.70                                28106.80                                46504.60
Hai Banh                                                                                             9181.60                                 31222.60                                13231.70                                5152.60
Hana Hlouskova                                                                                       1462.80                                 2881.20                                 28934.30                                20069.80
Hanita Nookala                                                                                       7512.00                                 24356.20                                14848.35                                20887.40
Harsha Huq                                                                                           18571.90                                15301.30                                23730.50                                18826.00
Hee-Young Suh                                                                                        15371.00                                20831.10                                23931.15                                21375.50
Hoc Tran                                                                                             13574.40                                41110.50                                25805.80                                11069.00
Hue Ton                                                                                              12446.35                                25733.70                                37849.20                                29866.10
Ian Olofsson                                                                                         0.00                                    0.00                                    3232.00                                 21182.00
Ida Celma                                                                                            4457.20                                 28275.80                                20733.15                                34708.00
Ingrida Zeltina                                                                                      32304.40                                24507.80                                34872.00                                22404.95
In-Su Bae                                                                                            8285.10                                 37339.20                                5152.50                                 31207.20
