CustomerName                                                                                         Sales_2013M1                            Sales_2013M2                            Sales_2013M3                            Sales_2013M4                            Sales_2013M5                            Sales_2013M6                            Sales_2013M7                            Sales_2013M8                            Sales_2013M9                            Sales_2013M10                           Sales_2013M11                           Sales_2013M12
---------------------------------------------------------------------------------------------------- --------------------------------------- --------------------------------------- --------------------------------------- --------------------------------------- --------------------------------------- --------------------------------------- --------------------------------------- --------------------------------------- --------------------------------------- --------------------------------------- --------------------------------------- ---------------------------------------
Aakriti Byrraju                                                                                      12839.20                                130.00                                  2659.80                                 224.60                                  2947.80                                 2934.75                                 11961.00                                862.00                                  5259.00                                 13301.00                                7689.40                                 2159.00
Abel Spirlea                                                                                         0.00                                    0.00                                    13923.50                                3607.60                                 5114.80                                 20246.00                                2533.00                                 14715.00                                5288.30                                 6858.40                                 1412.30                                 5824.80
Abel Tatarescu                                                                                       0.00                                    43.00                                   274.40                                  1247.00                                 7084.50                                 8270.00                                 4256.00                                 626.60                                  0.00                                    4439.10                                 760.00                                  10908.75
Abhra Ganguly                                                                                        0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00
Adrian Andreasson                                                                                    0.00                                    10849.80                                5221.80                                 11028.50                                4359.60                                 4798.40                                 0.00                                    2811.00                                 4852.00                                 8777.00                                 0.00                                    9016.80
Adriana Pena                                                                                         0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00
Agrita Abele                                                                                         0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00
Agrita Kanepa                                                                                        12365.65                                1176.00                                 6972.90                                 4348.00                                 7837.00                                 3867.40                                 11000.50                                1317.00                                 3796.75                                 2817.00                                 0.00                                    14501.00
Aishwarya Dantuluri                                                                                  0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00
Aive Petrov                                                                                          0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    8700.00                                 1367.00                                 6165.30                                 3654.50                                 22321.00
Ajitaab Pakalapati                                                                                   3404.00                                 7752.60                                 3039.00                                 3120.40                                 3958.00                                 251.00                                  10071.60                                8331.00                                 1070.00                                 3678.05                                 6422.00                                 23203.60
Akhil Nadar                                                                                          9507.00                                 2485.00                                 4088.00                                 2721.20                                 479.00                                  9070.35                                 4537.60                                 2687.20                                 7621.75                                 4917.60                                 9662.40                                 10116.00
Aleksandrs Riekstins                                                                                 4024.00                                 1879.50                                 8078.00                                 5335.00                                 36508.50                                10657.10                                20973.20                                7516.80                                 0.00                                    2249.00                                 1315.00                                 1404.25
Alena Kellnerova                                                                                     7103.00                                 7167.00                                 2666.35                                 7921.20                                 7453.85                                 0.00                                    4714.00                                 577.00                                  10796.00                                9600.20                                 195.00                                  12484.00
Alinne Matos                                                                                         3883.80                                 8364.80                                 859.00                                  6324.00                                 23686.50                                10753.95                                6923.20                                 2415.00                                 0.00                                    11721.00                                0.00                                    3316.00
Allan Mannik                                                                                         9310.70                                 0.00                                    5127.25                                 5435.40                                 21052.90                                2832.00                                 5091.80                                 8584.00                                 0.00                                    637.00                                  8359.00                                 3252.40
Alvin Bollinger                                                                                      1048.40                                 5309.20                                 6793.20                                 2094.80                                 14375.00                                1135.00                                 20729.00                                2882.60                                 1103.00                                 4526.00                                 20611.20                                2798.00
Amarakumaar Gadiyaram                                                                                4158.80                                 26406.20                                897.20                                  3411.00                                 19702.00                                4198.00                                 5867.00                                 9489.80                                 2113.80                                 0.00                                    1788.00                                 6671.00
Amarasimha Vinjamuri                                                                                 7989.00                                 14449.05                                1983.00                                 1796.00                                 674.25                                  4511.40                                 4809.90                                 0.00                                    10188.40                                0.00                                    1568.00                                 13189.00
Amet Shergill                                                                                        0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00
